transcript,dxy,n,pos,n0,n4,win,win_dxy,ratio,f0
LOC_00005026-mRNA-3,0.002148540606060606,3300,19527056.5,2108,429,195,0.00613015959504382,0.35048689560997437,0.8309026409144659
LOC_00005026-mRNA-4,0.002152837747336377,3285,19527049.0,2098,427,195,0.00613015959504382,0.35118787919925076,0.8308910891089109
LOC_00005026-mRNA-5,0.0021604424969249693,3252,19531566.5,2077,423,195,0.00613015959504382,0.3524284259534887,0.8308
LOC_00005026-mRNA-6,0.0021537982937233397,3282,19527047.5,2096,427,195,0.00613015959504382,0.351344571104587,0.8307570352754657
LOC_00005026-mRNA-7,0.002122552576705392,3357,19527013.0,2146,433,195,0.00613015959504382,0.3462475232164358,0.8321054672353625
LOC_00005028-mRNA-1,0.0012973191489361702,1269,19863654.0,832,216,198,0.004293477720823974,0.30216044737905334,0.7938931297709924
LOC_00005028-mRNA-2,0.0012706837024417945,1761,19865320.0,1158,285,198,0.004293477720823974,0.2959567476683992,0.8024948024948025
LOC_00005028-mRNA-3,0.0011772466367713005,1338,19863688.5,879,225,198,0.004293477720823974,0.27419418786348604,0.7961956521739131
LOC_00005028-mRNA-4,0.0012667854166666665,1920,19865399.5,1260,317,198,0.004293477720823974,0.29504879238631615,0.7989854153455929
LOC_00005028-mRNA-5,0.0009886093189964158,558,19861794.5,363,104,198,0.004293477720823974,0.23025840199461636,0.7773019271948608
LOC_00005029-mRNA-1,0.0019482093023255815,387,20275347.0,251,55,202,0.004278528262051757,0.4553456663136129,0.8202614379084967
LOC_00005029-mRNA-2,0.0017686424242424241,495,20275281.0,325,72,202,0.004278528262051757,0.41337635652178123,0.818639798488665
LOC_00005029-mRNA-3,0.001740360465116279,516,20275270.5,338,77,202,0.004278528262051757,0.4067661491341169,0.8144578313253013
LOC_00005029-mRNA-4,0.0018978189655172411,348,20275354.5,229,54,202,0.004278528262051757,0.44356817327815123,0.8091872791519434
LOC_00005029-mRNA-5,0.0020467777777777776,279,20276962.0,185,42,202,0.004278528262051757,0.4783836058608271,0.8149779735682819
LOC_00005030-mRNA-1,0.002322954046639232,1458,20296732.5,938,183,202,0.004278528262051757,0.5429329676848424,0.8367528991971455
LOC_00005031-mRNA-1,0.00239446,1800,20321417.5,1184,290,203,0.007140352384963673,0.33534199307058177,0.8032564450474898
LOC_00005032-mRNA-1,0.001595605700712589,1263,20440556.0,812,177,204,0.005637787608695653,0.28301983179564033,0.8210313447927199
LOC_00005033-mRNA-1,0.004411216666666666,60,20788719.5,39,7,207,0.006104359719292384,0.7226338010070634,0.8478260869565217
LOC_00005034-mRNA-1,0.005716457142857143,105,20795041.0,68,16,207,0.006104359719292384,0.9364548299456693,0.8095238095238095
LOC_00005035-mRNA-1,0.001454535105657805,1467,21318203.0,969,171,213,0.005141578707819975,0.2828965942786329,0.85
LOC_00005035-mRNA-2,0.0014851244855967078,972,21318030.5,642,124,213,0.005141578707819975,0.2888460081993764,0.8381201044386423
LOC_00005037-mRNA-1,0.016146891191709846,193,21759059.0,101,5,217,0.00628795284917752,2.5679090761346752,0.9528301886792453
LOC_00005039-mRNA-1,0.001465910891089109,909,21885383.0,585,128,218,0.005157900144347879,0.2842069156176823,0.820476858345021
LOC_00005039-mRNA-2,0.0014520134803921569,816,21886206.5,527,114,218,0.005157900144347879,0.28151252249101794,0.8221528861154446
LOC_00005039-mRNA-3,0.001465910891089109,909,21885383.0,587,127,218,0.005157900144347879,0.2842069156176823,0.8221288515406162
LOC_00005039-mRNA-4,0.0012519488752556237,489,21887010.0,318,66,218,0.005157900144347879,0.24272452746638223,0.828125
LOC_00005039-mRNA-5,0.0014539293924466339,609,21886950.0,394,96,218,0.005157900144347879,0.2818839744386824,0.8040816326530612
LOC_00005040-mRNA-1,0.003260516129032258,62,21954270.5,41,9,219,0.006441483558289658,0.5061747188403893,0.82
LOC_00005041-mRNA-1,0.003963956989247312,93,22142511.0,64,17,221,0.008706375152275831,0.4552936118553472,0.7901234567901234
LOC_00005042-mRNA-1,0.006000907713498622,726,23123547.5,476,98,231,0.01478868939298391,0.40577684431898264,0.8292682926829268
LOC_00005043-mRNA-1,0.03500775,60,23167151.5,39,6,231,0.01478868939298391,2.3671975974157973,0.8666666666666667
LOC_00005044-mRNA-1,0.04069267816091954,87,23212452.0,49,2,232,0.014633963441446,2.7807010946652087,0.9607843137254902
LOC_00005046-mRNA-1,0.00836528346456693,762,23965518.5,498,104,239,0.014618563263655964,0.5722370463973251,0.8272425249169435
LOC_00005047-mRNA-1,0.0170146,105,24109802.0,59,13,241,0.018530242112168922,0.9182071069015558,0.8194444444444444
LOC_00005048-mRNA-1,0.012326022988505745,87,24540961.0,52,6,245,0.01588270219271962,0.776065863285896,0.896551724137931
LOC_00005049-mRNA-1,0.006313367816091953,87,24650262.0,56,10,246,0.01648682052141674,0.38293422360550056,0.8484848484848485
LOC_00005050-mRNA-1,0.019825569444444444,144,24650452.5,90,14,246,0.01648682052141674,1.2025101758517112,0.8653846153846154
LOC_00005051-mRNA-1,0.01624158,50,25368125.5,32,0,253,0.016382829049429656,0.9913782260070293,1.0
LOC_00005055-mRNA-1,0.014504903225806453,93,26619683.0,63,14,266,0.01767785508828,0.8205126217729243,0.8181818181818182
LOC_00005056-mRNA-1,0.028943790322580643,186,26720504.5,119,23,267,0.013748113698098563,2.105291748247887,0.8380281690140845
LOC_00005057-mRNA-1,0.02931476245210728,522,26848319.5,330,107,268,0.016378835979286615,1.7897952265460133,0.7551487414187643
LOC_00005058-mRNA-1,0.009679636363636362,132,27226520.5,83,18,272,0.020178374444009536,0.47970347613952663,0.8217821782178217
LOC_00005061-mRNA-1,0.015522247311827959,93,28311271.0,59,9,283,0.016482980448362137,0.9417136276085528,0.8676470588235294
LOC_00005062-mRNA-1,0.009663212765957448,141,28849128.0,88,20,288,0.015846341677762985,0.6098071695322422,0.8148148148148148
LOC_00005063-mRNA-1,0.014618589211618259,723,28934618.0,471,97,289,0.015997638385254934,0.9137967029616229,0.829225352112676
LOC_0000SQ31600,0.001415784860557769,1004,21885335.5,648,150,218,0.005157900144347879,0.274488613764501,0.8120300751879699
