transcript,A,B,n,n0,n4,fst
LOC_00005354-mRNA-1,0.069122,0.593876,87,58,13,0.11639130054085366
LOC_00005383-mRNA-1,0.053877,0.46664400000000006,84,53,8,0.11545632216421939
LOC_00005349-mRNA-1,0.140635,1.23813,920,602,142,0.11358661852955668
LOC_00005349-mRNA-4,0.27878600000000003,2.680033,783,511,128,0.10402334598118756
LOC_00005349-mRNA-3,0.276679,2.661632,855,557,141,0.10395088426950082
LOC_00005307-mRNA-1,0.025614,0.261295,102,61,11,0.09802713408216766
LOC_00005327-mRNA-1,0.029273,0.37624,76,47,15,0.07780406123750797
LOC_00005334-mRNA-1,0.015224999999999999,0.198214,52,34,5,0.07681092152925625
LOC_00005372-mRNA-2,0.112569,1.724741,1572,1023,224,0.06526719084198729
LOC_00005372-mRNA-1,0.112569,1.724741,1572,1023,224,0.06526719084198729
LOC_00005299-mRNA-1,0.23174999999999998,3.552325,1123,716,147,0.06523896321423292
LOC_00005374-mRNA-3,0.068186,1.0838,654,420,101,0.0629138217383281
LOC_00005369-mRNA-1,0.045103,0.733738,420,272,65,0.06147017055134121
LOC_00005378-mRNA-1,0.123107,2.416603,2031,1309,290,0.050942169648883165
LOC_00005302-mRNA-3,0.053497,1.051004,570,371,74,0.05090085289875205
LOC_00005302-mRNA-1,0.053817000000000004,1.119829,648,422,84,0.04805823031909336
LOC_0000SQ31872,0.061927,1.44228,1161,745,157,0.04293687772138559
LOC_0000SQ31826,0.06256300000000001,1.4993319999999999,1245,800,166,0.04172724920164447
LOC_0000SQ31849,0.062672,1.5104,1272,819,167,0.04149364406779661
LOC_00005310-mRNA-1,0.003849,0.117323,75,48,9,0.032806866513812295
LOC_00005298-mRNA-1,0.11362,3.644297,963,627,99,0.0311774808694242
LOC_00005305-mRNA-1,0.043748,1.441026,1914,1245,256,0.030358924821620153
LOC_00005356-mRNA-3,0.015379,0.642691,1107,719,144,0.023929073224924574
LOC_00005367-mRNA-1,0.006345,0.28386100000000003,231,147,25,0.02235248942263995
LOC_00005314-mRNA-1,0.006268,0.28508700000000003,84,57,8,0.021986270857668008
LOC_00005370-mRNA-1,0.020715,1.024594,942,605,128,0.020217764304690442
LOC_00005331-mRNA-1,0.003081,0.15558,96,61,13,0.019803316621673738
LOC_00005368-mRNA-1,0.005215,0.267139,198,134,27,0.019521672238048356
LOC_00005348-mRNA-1,0.008278,0.486651,90,56,10,0.01701013662768596
LOC_00005373-mRNA-1,0.01316,0.7741089999999999,936,615,126,0.017000189895738198
LOC_00005302-mRNA-2,0.012814,0.83111,534,346,70,0.01541793505071531
LOC_00005322-mRNA-3,0.008597,0.583625,777,519,107,0.01473034911115871
LOC_00005364-mRNA-1,0.003606,0.248487,291,186,39,0.01451182556833959
LOC_00005375-mRNA-2,0.018238,1.323273,1623,1049,199,0.013782492350406909
LOC_00005375-mRNA-1,0.020751,1.554157,2043,1322,264,0.013351932912826695
LOC_00005322-mRNA-1,0.007568,0.579402,855,572,120,0.013061742969475425
LOC_00005347-mRNA-1,0.007294,0.562251,898,594,137,0.012972853761042668
LOC_00005322-mRNA-2,0.006591,0.508866,762,511,103,0.012952329296907239
LOC_00005298-mRNA-2,0.001207,0.09833,121,79,11,0.0122749923726228
LOC_00005356-mRNA-2,0.013757,1.192273,1962,1263,278,0.011538464764361855
LOC_00005356-mRNA-1,0.013757,1.192273,1962,1263,278,0.011538464764361855
